Datetime,Main_Tag,hashtags,Tweet_id,post_urls,link
2017-07-22 00:24:00+00:00,FreeDownload,"adr,FreeDownload,Free,Giveaway",888555191200399360,https://twitter.com/Apple_News1/status/888555191200399360,http://buff.ly/2ts7ALg
2017-07-22 00:22:00+00:00,FreeDownload,"internetfraud,FreeDownload,Free,Giveaway",888554687481475076,https://twitter.com/MicrosoftOffic1/status/888554687481475076,http://buff.ly/2th3mly
2017-07-22 00:16:01+00:00,FreeDownload,"sapco,FreeDownload,Free,Giveaway",888553178953768960,https://twitter.com/MacnewsMac/status/888553178953768960,http://buff.ly/2ucpT6b
2017-07-22 00:12:27+00:00,FreeDownload,"vios,FreeDownload,Free,Giveaway",888552284271120384,https://twitter.com/blokdykg/status/888552284271120384,http://buff.ly/2uk5YRh
2017-07-22 00:10:00+00:00,FreeDownload,"sapco,FreeDownload,Free,Giveaway",888551666915708930,https://twitter.com/Apple_News1/status/888551666915708930,http://buff.ly/2uBkPcC
2017-07-21 23:56:00+00:00,FreeDownload,"skms,FreeDownload,Free,Giveaway",888548144627064833,https://twitter.com/blokdykg/status/888548144627064833,http://buff.ly/2uHRZY8
2017-07-21 23:56:00+00:00,FreeDownload,"sapco,FreeDownload,Free,Giveaway",888548143201107968,https://twitter.com/Agile_News/status/888548143201107968,http://buff.ly/2uL44fx
2017-07-21 23:54:28+00:00,FreeDownload,"lte,FreeDownload,Free,Giveaway",888547758159806464,https://twitter.com/blokdykg/status/888547758159806464,http://buff.ly/2ty99Yj
2017-07-21 23:54:00+00:00,FreeDownload,"sapbusinessone,FreeDownload,Free,Giveaway",888547639918288896,https://twitter.com/artofserviceIT/status/888547639918288896,http://buff.ly/2tIBrdC
2017-07-21 23:52:00+00:00,FreeDownload,"sapbusinessone,FreeDownload,Free,Giveaway",888547137855913985,https://twitter.com/EmereoBooks/status/888547137855913985,http://buff.ly/2uB7QHF
2017-07-21 23:48:49+00:00,FreeDownload,"MIX,edm,techno,freedownload",888546337335242752,https://twitter.com/PornStarPromo/status/888546337335242752,http://mfi.re/?qp5pau591aoav0d
2017-07-21 23:46:01+00:00,FreeDownload,"uml,FreeDownload,Free,Giveaway",888545629798096897,https://twitter.com/artofserviceIT/status/888545629798096897,http://buff.ly/2trWHt8
2017-07-21 23:44:01+00:00,FreeDownload,"uml,FreeDownload,Free,Giveaway",888545126708109312,https://twitter.com/EmereoBooks/status/888545126708109312,http://buff.ly/2tIFBCr
2017-07-21 23:44:00+00:00,FreeDownload,"internetfraud,FreeDownload,Free,Giveaway",888545123381911554,https://twitter.com/Apple_News1/status/888545123381911554,http://buff.ly/2trH84E
2017-07-21 23:42:00+00:00,FreeDownload,"dbaas,FreeDownload,Free,Giveaway",888544620203745281,https://twitter.com/Content_Managem/status/888544620203745281,http://buff.ly/2tgwhGu
